Использую ORCA: /opt/orca/orca
Найдено заданий: 78
[62/78] RUN  random0_nn2.00
[62/78] OK   random0_nn2.00 (1554s)
[63/78] RUN  random1_nn1.70
[63/78] OK   random1_nn1.70 (1963s)
[64/78] RUN  random1_nn2.00
[64/78] OK   random1_nn2.00 (1479s)
[65/78] RUN  random2_nn1.70
[65/78] OK   random2_nn1.70 (1123s)
[66/78] RUN  random2_nn2.00
[66/78] OK   random2_nn2.00 (1028s)
[67/78] RUN  random3_nn1.70
[67/78] OK   random3_nn1.70 (735s)
[68/78] RUN  random3_nn2.00
[68/78] OK   random3_nn2.00 (1852s)
[69/78] RUN  random4_nn1.70
[69/78] OK   random4_nn1.70 (588s)
[70/78] RUN  random4_nn2.00
[70/78] OK   random4_nn2.00 (1268s)
[71/78] RUN  random5_nn1.70
[71/78] OK   random5_nn1.70 (653s)
[72/78] RUN  random5_nn2.00
[72/78] OK   random5_nn2.00 (970s)
[73/78] RUN  trunc_tetrahedron_nn1.60
[73/78] OK   trunc_tetrahedron_nn1.60 (1250s)
[74/78] RUN  trunc_tetrahedron_nn1.80
[74/78] OK   trunc_tetrahedron_nn1.80 (915s)
[75/78] RUN  trunc_tetrahedron_nn2.00
[75/78] OK   trunc_tetrahedron_nn2.00 (1615s)
[76/78] RUN  trunc_tetrahedron_nn2.50
[76/78] OK   trunc_tetrahedron_nn2.50 (3600s)
[77/78] RUN  trunc_tetrahedron_nn3.00
[77/78] OK   trunc_tetrahedron_nn3.00 (4783s)
[78/78] RUN  trunc_tetrahedron_nn5.00
[78/78] FAIL trunc_tetrahedron_nn5.00 (rc=0, 443s)
Готово. Лог: jobs/_progress.log
